id,rainfall_mm,temperature_celsius,elevation_m,ph,soil_texture,area_ha,slope,latitude,longitude,coastal,riparian,is_predicted
1950,2098,22,919,5.6,sandy clay,0.09,29.614598098041288,-8.662666899,125.19831659260238,False,False,False
1951,2040,22,894,5.6,sandy clay,0.89,20.389979105548218,-8.661913712,125.20411350998678,False,False,False
1952,2040,22,766,5.6,sandy clay,0.74,21.30342484654764,-8.658586981,125.21199308134756,False,False,False
1953,2157,22,1003,5.6,sandy clay,3.89,13.313902830204288,-8.661036034,125.1930790804386,False,False,False
1954,2157,22,854,5.8,sandy loam,0.17,27.221179601620555,-8.656373035,125.19719771149552,False,False,False
1955,2157,22,874,5.8,sandy loam,0.35,17.281978216392982,-8.656568403,125.19643587467796,False,False,False
1956,1690,23,784,5.6,sandy clay,0.59,21.53030235265857,-8.652608092,125.21368266877676,False,False,False
1958,2040,22,713,5.6,sandy clay,0.09,25.19755425321101,-8.658731457,125.2130785503767,False,False,False
1959,2157,22,828,5.8,sandy loam,0.82,23.24214792325541,-8.655333791,125.1960443152206,False,False,False
1960,2157,22,835,5.8,sandy loam,0.37,29.92055861937788,-8.656029468,125.19738600347382,False,False,False
1961,2040,22,779,5.6,sandy clay,0.36,19.85868800821478,-8.659329074,125.21168927631818,False,False,False
1962,2040,22,790,5.8,sandy loam,3.6,21.035178094821458,-8.659829687,125.19915535022923,False,False,False
1963,2157,22,837,5.8,sandy loam,0.5,16.950931829353735,-8.658086832,125.19816844663552,False,False,False
2282,2157,22,867,5.8,sandy loam,0.93,19.96865587537904,-8.613929188,125.40007227510418,False,False,False
1965,2157,22,815,5.8,sandy loam,1.46,29.44358794515884,-8.654879093,125.19281698487153,False,False,False
1966,2157,22,944,5.6,sandy clay,0.64,20.796508696255568,-8.658140872,125.19490995559734,False,False,False
1967,2040,22,767,5.7,sandy clay,1.27,26.561682662427803,-8.653748757,125.21105752225333,False,False,False
1968,1690,23,717,5.7,sandy clay,0.22,18.337196334348235,-8.651978783,125.21200040996354,False,False,False
1969,2157,22,774,5.8,sandy loam,0.13,24.41768503038241,-8.653865491,125.19524530560072,False,False,False
1970,2157,22,772,5.8,sandy loam,0.34,33.34380265332433,-8.653881946,125.1945250575755,False,False,False
630,2061,22,731,5.8,sandy loam,2.47,2.856268594556288,-8.490028752,126.9792351901074,False,False,False
1973,2061,22,685,5.8,sandy loam,1.27,29.54680350193778,-8.64650004,125.32713742567272,False,False,False
1974,2061,25,281,6.796255060728746,sandy clay,0.46,23.026284663465805,-8.62625722,125.31568581517983,False,True,False
2033,2061,22,912,5.8,sandy loam,0.14,12.997067689583206,-8.649772104,125.32263400860307,False,False,False
